ID,name,Vermin,stars,votes,safety
106983985,The Ex,V4,3,1,""
109512131,Windex,V0,3,1,""
107996824,Her Crack,V0,3,1,""
109512114,Punch Bowl Right,V0,3,1,""
107979080,Overfilled Water Bed,V2+,3,1,PG13
106987355,"Cox's Overhang",V4,3,1,""
106659767,Bugger Any Which Way You Can,V3-,3,1,""
106124336,One Way Street,V1,2.6,8,""
107925415,High Water,V0,2.8,4,""
107440220,Crosswalk,V3,2.8,4,""
106337778,Cornerstone Righthand,V1+,2.3,12,""
106652603,"Momma's In New York",V2+,2.7,3,""
106652612,J. Elvis,V4-,2.7,3,PG13
108022779,Problem D,V0-,2.7,3,""
106121639,Black Gnat,V2,2.2,11,""
107003694,Half Moon Crack,V1,2.5,4,""
107925389,Back Alley,V1,2.5,4,""
105928870,Black Pinch,V1+,2.1,12,""
106122932,The Finger Crack,V0,2.3,8,""
109527330,Beetle Juice,V2,2.4,5,""
106358534,Slab and Tickle,V1-,2.4,5,PG13
106121763,Cherry Dip Scoop,V1,2.4,5,PG13
106121754,Thumbelina,V0,2.3,7,R
106394358,Isosceles,V1+,2.3,6,X
118760204,Doc Mantle,V4,2.5,2,""
115461215,"Slip N' Slide",V0+,2.5,2,""
112856497,The Tomahawk,V4-,2.5,2,""
107100241,Skidder,V3,2.5,2,""
106659773,Bugger As Fast As You Can,V2,2.5,2,""
106121632,Direct Northwast Face (aka Left Half Dome Crack),V0,1.6,19,PG13
106410681,Dynamite Face,V0,1.7,17,""
110127049,Problem A,V1,2.3,3,""
105928858,"Borson's Mantel",V4-,2.2,6,""
111365417,The Arete,V1,2.3,4,""
106409466,Circle of Life Down on the Beach,V1,2.3,4,PG13
107925407,Run For It,V2+,2.2,5,""
106124342,Franklin Street,V2+,2.3,4,""
106410648,Peppertree Crank,V3,2.3,4,""
106337769,Cornerstone Lefthand,V0,1.8,12,""
107925972,Problem B,V1,2,7,""
106410655,Peppertree Problem,V2,2,7,""
112537742,Steck-Salathe,V0,2,6,""
106358407,B Movie,V1+,1.8,10,""
108022743,Problem A,V0,2,5,""
106124317,Dutzi,V0-,2,5,""
106124852,Hugs and Pinches,V1,2,3,""
107466238,The Fu Crack,V0,2,3,""
106409162,Low Level Girdle,V1+,2,3,""
107454518,Clinker,V2,2,3,R
107476207,Aggravation,V0,2,3,""
107454416,Tiny Hole Mantle,V1,2,3,""
106652556,Peppertree Arete,V2+,2,3,""
106122953,Triangulation,V0+,1.8,6,""
118760266,"Travis' Crack",V0+,2,2,R
112431701,Jam out with your clam out,V1-,2,2,""
110127024,Problem A,V1+,2,2,""
110127169,Problem D,V2,2,2,""
107454496,Fly Ash,V1+,2,2,""
107077771,"Harrison's Peanut",V1,2,2,""
107446986,Matt,V4,2,2,PG13
116093017,Sunrise Crack,V2,2,1,""
120164706,"Jeremiah's Traverse",V1+,2,1,""
108503302,Evil Traverse,V2,2,1,""
110227832,His Face,V0,2,1,""
108082849,"Stinky rabbit crankin's for kids",V4,2,1,""
107925396,Face Lift,V7,2,1,""
107925423,Over Your Head,V3,2,1,PG13
107454453,Mama Mantel,V4,2,1,""
107011037,Funky Dike,V1,2,1,""
107926058,Problem A,V1,2,1,""
106990772,Roll up the Window,V4,2,1,""
107077763,Brainiac,V0,2,1,""
107947965,Beryllium,V1-,2,1,R
107926016,Problem C,V1,2,1,""
107979369,Horizontal Bands,V3,2,1,R
107979525,Problem E,V0-,2,1,""
107926065,Problem B,V1,2,1,""
107454572,Problem B,V2,2,1,PG13
107926022,Problem D,V0,2,1,""
107454591,Problem C,V3,2,1,R
107013368,Tenderfoot,V2,2,1,""
106659762,A Fear of Flying,V2,2,1,PG13
107013349,Boy Scout Mantle,V0,2,1,""
108022733,Problem A,V0-,1.6,8,""
106121599,Tiny Crack,V3,1.8,4,""
107440228,Problem B,V0,1.7,6,""
108022771,Problem C,V0-,1.7,3,""
107925965,Problem A,V0-,1.7,3,""
107494285,The Handle,V0,1.5,6,""
106337531,Problem C,V0-,1.4,7,""
108022763,Problem B,V0-,1.5,4,""
106394341,Problem A,V0-,1.5,4,""
107925979,Problem C,V0,1.4,5,""
106337784,Cornerstone Right to Left,V1,1.4,5,""
109493542,Wall Nut,V2,1.5,2,""
106124871,The Cheater Overhang,V0-,1.5,2,""
107440089,Mantel Place,V0,1.5,2,""
107454541,Full Moon,V2+,1.5,2,R
107925402,The Hand That Takes,V4-,1.5,2,""
107447038,Street Mantle,V2,1.5,2,""
107979535,Problem F,V0,1.5,2,""
107979505,Problem C,V0-,1.5,2,""
